Name,Handle,Party,Bio
Steen Frandsen,@SteenFrandsen,A,
Lars B. Goldschmidt,@LarsGoldschmidt,A,
Lea Wermelin,@LeaWermelin,A,"Miljøminister, bornholmer og folketingsmedlem for @spolitik. Mor til to piger. Tlf. 38142142"
Dave Christensen,@Koach_C,B,Retired College Football Coach
Niels E. Ebbesen,@nebbesen,B,
Gerhard Lyng,@GerhardLyng,B,
Birger Nissen,@birgernissen,B,
Diana-Ester B. Eriksen,@birgernissen,C,
Sebastian Larvad,@SLarvad,C,
Henriette Søvind,@HenrietteVind,C,"CEO - Foredragsholder, debattør, analytiker, forfatter, adfærds-nørd & livsdesign/skyggevejleder"
Jakob Buchwald Busk,@HenrietteVind,D,"CEO - Foredragsholder, debattør, analytiker, forfatter, adfærds-nørd & livsdesign/skyggevejleder"
Thomas Garfort,@thomas_garfort,F,
Andreas Grosbøll,@grosboell,F,Folketingskandidat for SF på Bornholm. Uddannelsesleder for SoSu/PAU på Bornholms Sundheds- og Sygeplejeskole
Clara Malmqvist,@grosboell,I,Folketingskandidat for SF på Bornholm. Uddannelsesleder for SoSu/PAU på Bornholms Sundheds- og Sygeplejeskole
Mette Vinqvist,@grosboell,I,Folketingskandidat for SF på Bornholm. Uddannelsesleder for SoSu/PAU på Bornholms Sundheds- og Sygeplejeskole
Bjarne Hartung Kirkegaard,@grosboell,K,Folketingskandidat for SF på Bornholm. Uddannelsesleder for SoSu/PAU på Bornholms Sundheds- og Sygeplejeskole
Lars Christian Funk,@grosboell,M,Folketingskandidat for SF på Bornholm. Uddannelsesleder for SoSu/PAU på Bornholms Sundheds- og Sygeplejeskole
Stine Bo Rosenquist,@stinebo91,M,Seniorkonsulent til Public Affairs og Kommunikation hos De Danske Bilimportører
Rene Danielsson,@DanielssonRene,O,"Kulturkonservativ debattør og lokalpolitiker på Bornholm for DF. Oversergent, gift og en lille datter + bonus. Fodboldnørd."
Mette Sode Hansen,@DanielssonRene,O,"Kulturkonservativ debattør og lokalpolitiker på Bornholm for DF. Oversergent, gift og en lille datter + bonus. Fodboldnørd."
Sabine Nicoline Lyngberg,@DanielssonRene,O,"Kulturkonservativ debattør og lokalpolitiker på Bornholm for DF. Oversergent, gift og en lille datter + bonus. Fodboldnørd."
Stine Zink Kaasgaard,@stinezk,Q,Næsten direkte fra filosofiens kringelkroge til gravermedhjælper og folketingskandidat for Frie Grønne på Bornholm.
Birthe Tindbæk Bredo,@stinezk,V,Næsten direkte fra filosofiens kringelkroge til gravermedhjælper og folketingskandidat for Frie Grønne på Bornholm.
Peter Juel Jensen,@PeterJuelJensen,V,"m/f Venstre, Landdistriktsordfører, Beredskabsordfører, Treasurer i OSCE PA, medlem af Forsvarsudvalget, Transportudvalget, Udvalget for Landdistrikter og Øer"
Julie Pauch Nymark,@PeterJuelJensen,V,"m/f Venstre, Landdistriktsordfører, Beredskabsordfører, Treasurer i OSCE PA, medlem af Forsvarsudvalget, Transportudvalget, Udvalget for Landdistrikter og Øer"
Vibeke Brønnum,@VibekeBr,Æ,"Danmarksdemokraternes Folketingskandidat på Bornholm. Bornholmer, sygeplejerske, fhv. folkesundhedschef, MSc ledelse/organisation, gift med Karsten, mor til 2+2"
Laura Kofod,@laura_kofod,Ø,
Morten Riis,@m_riis,Ø,"Composer, sound-artist and approaching theoretical media archaeology"
Martin Kelleher-Petersen,@m_riis,Å,"Composer, sound-artist and approaching theoretical media archaeology"
Caroline Meyer White,@m_riis,Å,"Composer, sound-artist and approaching theoretical media archaeology"
Charlotte Petersen,@m_riis,UDEN,"Composer, sound-artist and approaching theoretical media archaeology"
Trine Bramsen,@Trinebramsen,A,Joan Didion: “Writers are always selling somebody out”.
Bjørn Brandenborg,@Trinebramsen,A,Joan Didion: “Writers are always selling somebody out”.
Sara Emil Baaring,@BaaringEmil,A,Folketingskandidat og medlem af Assens byråd for Socialdemokratiet. Bor i Skalbjerg på Fyn. Folkeskolelærer på Verninge skole. Gift med Mark og har to børn.
Mads MadsenHenriksen,@MadsenHenriksen,A,Folketingskandidat for Socialdemokratiet i Odense Øst - 60127783
Thomas Skriver Jensen,@MadsenHenriksen,A,Folketingskandidat for Socialdemokratiet i Odense Øst - 60127783
Dan Jørgensen,@MadsenHenriksen,A,Folketingskandidat for Socialdemokratiet i Odense Øst - 60127783
Lasse Haugaard Pedersen,@MadsenHenriksen,A,Folketingskandidat for Socialdemokratiet i Odense Øst - 60127783
KimAas,@KimAas6,A,Love myself
Niels Grønlund,@KimAas6,B,Love myself
Kim Lei-Jensen,@KimAas6,B,Love myself
Jan Werner Mathiasen,@JanWernerNyborg,B,"Officer, familiefar til fire, økonom og folketingskandidat for Radikale Venstre.

Fagligheden på dagsordenen. Fremtiden for bordenden. Fællesskabet i centrum."
Hanne Ringgaard Møller,@HanneRinggaard,B,Engageret i samfund og mennesker. Positiv og Forstående.
Rasmus Helveg,@rasmushelveg,B,"MF, radikale venstre. Klimaordfører. Transportordfører. Præsidiemedlem. Fhv udviklingsminister, fhv klima- og energiminister"
Tobias Bennedsen,@TobiasBennedsen,C,"Konservativ folketingskandidat, og folkeskolelærer i Middelfart."
Anne Fiber,@TobiasBennedsen,C,"Konservativ folketingskandidat, og folkeskolelærer i Middelfart."
Kristian Guldfeldt,@Guldfeldt,C,Folketingskandidat og byrådsmedlem og Pol. ordfører for DKF i Odense. Mail: krsg@odense.dk Tlf: 30604469
Emil Holbech Hansen,@EmilHolbech,C,
Joachim Torp Hoffmann-Petersen,@JoachimTHP,C,"Anæstesi og intensivlæge.
tidl Fmd Dansk Selskab for Anæstesi og Intensiv Medicin.
Folketingskandidat for Konservative på Fyn. Byrådsmedlem i Odense."
"John Hoppe, Owner",@vacumed,C,Experts in VO2 & Body Composition measurements
Anders Johansson,@vacumed,C,Experts in VO2 & Body Composition measurements
Mai Mercado,@vacumed,C,Experts in VO2 & Body Composition measurements
Roya Moore,@MooreRoya,C,
Mikkel Bjørn,@Mikkel_Bjorn,D,Folketingsmedlem for Nye Borgerlige på Fyn
Rebecha Foged,@RebechaFoged,D,
Jonas René Jensen,@MrJenZen,D,Politiker for Nye Borgerlige
malte jäger,@maltejaeger,D,freelance photographer
Melanie Jørgensen,@melanieclaraa,D,
Henrik Tørnqvist Lauridsen,@melanieclaraa,D,
Lars S Lillebæk,@Lars_LIL,D,
Nicolaj Pedersen,@nicoHolm,D,
Jonas Hulgaard Ammundsen,@nicoHolm,F,
Karsten Hønge,@khoenge,F,"Verbal nævefighter. Politik skal ikke være unødig kedeligt. MF for SF. Fhv. medlem af byråd, regionsråd, og amtsråd. Tidl. tømrersvend og fagforeningsformand."
Lise Müller,@Lisem_ller,F,Sygeplejerske - Næstformand SF
Nynne Printz,@Lisem_ller,F,Sygeplejerske - Næstformand SF
katrine_wulff,@mrsbieberwulff,F,
katrine daugaard,@Katrine_86,I,
Silke Anna Hein,@silke_hein,I,"Kommunikationsstuderende, ansat i IT-branchen og folketingskandidat for LA."
Anders Kirkeby ,@akirkeby,I,Seasoned curator of shiny new things and ideas that adds value in financial services
Sinus Kremmer,@KremmerSinus,I,Bøh
Christoffer Munk,@MunkChristoffer,I,Tidl. Forretningsudvalgsmedlem i Liberal Alliances Ungdom
Jenan Jamel Bozo,@MunkChristoffer,K,Tidl. Forretningsudvalgsmedlem i Liberal Alliances Ungdom
Torben Bundgård,@tbundgard,K,
Gert Dyrn,@gert_dyrn,K,
Anders Friis Knudsen,@AndersFKnudsen,K,"Sacristan / Parish clerk. Chairman in boys brigade. Husband, dad and granddad. Poet. Editor. Christian Democrat. Football ref. Addicted to American Football."
Simon Lavdal,@SimonLavdal,K,
MARIA,@eumaria,K,"atriz, cantora e compositora."
Michelle West,@eumaria,K,"atriz, cantora e compositora."
Niclas Aarestrup KD,@NiclasAarestrup,K,"Næstformand i KD Fyns Storkreds. Fokus på transport, Fyn, psykiatri, idræt, kultur, internationale relationer og IT. Tweets udtrykker egen holdning."
Kenneth Bjerg Andersen,@NiclasAarestrup,M,"Næstformand i KD Fyns Storkreds. Fokus på transport, Fyn, psykiatri, idræt, kultur, internationale relationer og IT. Tweets udtrykker egen holdning."
Rosa Eriksen,@RosaEriksen9,M,Folketingskandidat for Moderaterne. Sygeplejerske.
Carsten Damgaard Møller,@RosaEriksen9,M,Folketingskandidat for Moderaterne. Sygeplejerske.
Gustav H.C. Wulff,@Hyrnyrd,M,Welcome to the workshop of a mad hatter.
Alex Ahrendtsen,@Hyrnyrd,O,Welcome to the workshop of a mad hatter.
Signe Vedersø Keldorff,@Hyrnyrd,O,Welcome to the workshop of a mad hatter.
Lars Kolling,@larskolling_,O,
charlotte moeller-madsen,@MadsenMoeller,O,
Cheanne Nielsen DF,@CheanneNielsen1,O,
Frank Sørensen,@FrankSrensen9,O,
Dorthe Ullemose,@DortheUllemose,O,"Folketingsmedlem for Dansk Folkeparti. Byrådsmedlem, formand af børn og unge §18 udvalget. Næsteformand i udvalget  for børn og unge."
Ganesh Nishan,@GaneshNishan,Q,
Nicholas Nyrop Vinthen,@GaneshNishan,Q,
Marlene Ambo-Rasmussen,@MarleneAmbo,V,Folketingsmedlem (V) Social - handicap - og familieordfører. Medlem af social- og beskæftigelsesudvalget i Odense byråd.
Erling Bonnesen,@ErlingBonnesen,V,"MF (V) Fødevare -, landbrugs -og dyrevelfærdsordfører. Medlem af miljø -og fødevareudvalget og landdistriktsudvalget m.fl. . Valgt og opstillet på Fyn."
Nikolaj Henriksen,@nikolaj_leed,V,medlem af Assens byråd (V)
Khan Araz,@XanAraz,V,
Tom Kristoffersen,@TomKristoffers1,V,Sarping med Sparta som all star favoritt!
Lars Chr. Lilleholt,@larsclilleholt,V,"Folketingsmedlem for Venstre, valgt i Fyns Storkreds. Fhv. Energi-, forsynings- og klimaminister."
Pia Offer Madsen,@larsclilleholt,V,"Folketingsmedlem for Venstre, valgt i Fyns Storkreds. Fhv. Energi-, forsynings- og klimaminister."
Bo Sandberg,@larsclilleholt,V,"Folketingsmedlem for Venstre, valgt i Fyns Storkreds. Fhv. Energi-, forsynings- og klimaminister."
Martin Jason Adelgaard,@larsclilleholt,Æ,"Folketingsmedlem for Venstre, valgt i Fyns Storkreds. Fhv. Energi-, forsynings- og klimaminister."
J H Thulesen Dahl,@JThulesen,Æ,Medlem af Folketinget for Danmarksdemokraterne. Valgt til Folketinget i 2011.
Vivian,@coffeebae97,Æ,the public diary of a tiktoker
Bent Juul Sørensen,@coffeebae97,Æ,the public diary of a tiktoker
Nikolaj Vang,@NikolajVang,Æ,
Victoria Velásquez,@NikolajVang,Ø,
RezaJavid,@RezaJavid,Ø,
vibeke syppli enrum,@Vse11Vse,Ø,
Torsten Ringgaard,@Vse11Vse,Ø,
Camilla Jensen,@CamillaDalum,Ø,
Victoria Bøgh Salo,@CamillaDalum,Ø,
Bjarne Lund,@NielsBLund,Ø,"Bestyrelsesmedlem i Enhedslisten Nordfyn. Folketingskandidat for Enhedslisten, i Middelfart kredsen."
Henrik Boye Ebbesen,@henrikebbesen,Å,"Journalist. Kommunikationsmedarbejder hos videnshuset Cabi, der arbejder for et rummeligt arbejdsmarked. Interesser: Travsport, mountainbike, politik og familie"
Linda Frølund Hansen,@LindaFrlund,Å,
Bodil Marie Helbo,@LindaFrlund,Å,
Anna Astrid Høy-Nielsen,@LindaFrlund,Å,
Simon Nyborg Jensen,@LindaFrlund,Å,
Martin Kjærulff (Å),@martin78,Å,Folketingskandidat på Fyn
Ole Dupont Kofod,@Kophod,Å,Selvstændig
Kasper Sætra Krebs,@Apex_Kasper,Å,
Marianne Lassen,@MarianneLassen4,Å,"German mum of 2 living in London for 40 years and proudly working for the NHS. Food snob, knitting whizz and Nadal fan girl."
Mette Rahbek,@RahbekMette,Å,Mønsterbryder. Pædagog. Socialrådgiverstuderende. Aktivist. Feminist. Grøn socialist.
Millah Kongsbach,@RahbekMette,UDEN,Mønsterbryder. Pædagog. Socialrådgiverstuderende. Aktivist. Feminist. Grøn socialist.
Jeppe Bruus,@RahbekMette,A,Mønsterbryder. Pædagog. Socialrådgiverstuderende. Aktivist. Feminist. Grøn socialist.
Morten Bødskov,@RahbekMette,A,Mønsterbryder. Pædagog. Socialrådgiverstuderende. Aktivist. Feminist. Grøn socialist.
Maria Durhuus,@DurhuusMaria,A,
Maria Gudme,@DurhuusMaria,A,
Kasper Sand Kjær,@SandKjaer,A,MF for @Spolitik - Udlændinge- og integrationsordfører / Medieordfører - valgt i Ballerup og Glostrup - 61 62 58 61 / kasper.kjaer@ft.dk
Sebastian Schwartz,@SandKjaer,A,MF for @Spolitik - Udlændinge- og integrationsordfører / Medieordfører - valgt i Ballerup og Glostrup - 61 62 58 61 / kasper.kjaer@ft.dk
Mattias Tesfaye,@SandKjaer,A,MF for @Spolitik - Udlændinge- og integrationsordfører / Medieordfører - valgt i Ballerup og Glostrup - 61 62 58 61 / kasper.kjaer@ft.dk
Gunvor Wibroe,@SandKjaer,A,MF for @Spolitik - Udlændinge- og integrationsordfører / Medieordfører - valgt i Ballerup og Glostrup - 61 62 58 61 / kasper.kjaer@ft.dk
Kashif Ahmad,@SandKjaer,B,MF for @Spolitik - Udlændinge- og integrationsordfører / Medieordfører - valgt i Ballerup og Glostrup - 61 62 58 61 / kasper.kjaer@ft.dk
Christina Rittig Falkberg,@SandKjaer,B,MF for @Spolitik - Udlændinge- og integrationsordfører / Medieordfører - valgt i Ballerup og Glostrup - 61 62 58 61 / kasper.kjaer@ft.dk
